driver_number,grid_position,driver_form_5,driver_form_10,dnf_rate,recent_dnf_rate,avg_quali_position,avg_race_pace,pace_consistency,experience_years,constructor_dnf_rate,recent_constructor_dnf_rate,constructor_dnf_trend,avg_constructor_finish,recent_avg_finish,constructor_finish_std,avg_points,track_type_street,overtake_difficulty,safety_car_prob,chaos_factor,qualifying_importance,dnf_risk_index
7,3.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
10,6.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
14,11.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
55,5.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
27,13.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
31,18.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
18,15.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
16,17.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
5,2.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
31,3.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
10,10.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
55,14.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
18,17.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
7,6.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
16,12.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
14,15.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
27,20.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
44,3.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
7,1.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
5,2.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
31,8.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
55,7.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
18,10.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
16,15.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
27,20.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
10,9.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
14,13.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
5,3.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
7,5.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
14,11.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
55,12.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
16,13.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
27,10.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
10,15.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
18,20.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
31,9.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
44,2.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
5,3.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
7,4.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
16,7.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
31,6.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
27,12.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
14,16.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
18,14.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
55,11.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
10,17.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
7,4.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
5,8.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
31,11.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
55,13.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
10,7.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
14,18.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
18,14.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
16,10.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
27,16.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
7,2.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
5,5.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
27,7.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
55,11.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
10,19.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
18,15.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
16,9.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
14,13.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
31,6.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
5,4.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
7,6.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
44,3.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
27,7.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
16,9.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
10,20.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
31,11.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
18,17.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
55,8.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
14,12.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
7,4.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
5,2.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
16,7.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
55,15.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
10,9.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
31,18.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
14,17.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
18,19.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
27,13.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
5,3.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
55,11.0,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.736609617343418,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.048231884057971
16,8.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
14,15.0,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
18,20.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
10,17.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
31,9.0,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,0.1416184971098266,0.2,0.0,14.084057971014492,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
7,4.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
27,10.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
44,1.0,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
5,3.0,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
16,5.0,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.522510613988152,9.726878612716764,1,0.7,0.45,1.3,0.8,0.0247976878612716
27,11.0,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,0.1145833333333333,0.4,0.0,14.59375,14.0,3.867756387582368,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.0297916666666666
7,9.0,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268936,1.8528289459294716,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
18,16.0,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885864,1.7483612465164278,8,0.1233480176211453,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
10,17.0,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,0.1195652173913043,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
